
Time    Lng    Lat    Alt    Yaw    Pitch    Roll
2020/05/29-23:36:21:779    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:21:983    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:082    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:187    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:391    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:492    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:594    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:693    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:797    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:894    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:22:994    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:096    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:202    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:306    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:402    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:510    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:608    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:716    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:811    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:23:913    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:012    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:114    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:216    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:316    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:419    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:515    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:615    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
2020/05/29-23:36:24:717    111.38986446543088    40.49021613389866    24.899999618530273    21.6    0.0    0.0
